idx,key,question,question_type,context,objects,r3_answer,r3_score,best_method,best_answer,best_score,delta,r3_caption_answer,r3_caption_score,answer_first_locked_no_caption_answer,answer_first_locked_no_caption_score,review_empty_context_answer,review_empty_context_score,no_cot_rounds1_answer,no_cot_rounds1_score,r3_no_caption_answer,r3_no_caption_score,keep_revise_answer,keep_revise_score,visible_only_answer,visible_only_score,reviewer_caption_only_answer,reviewer_caption_only_score
3,329542<->2C8riXpRLX3CyM5jDz23m7,What is the white substance on top of the cupcakes?,object_what,a person is taking a picture of some cupcakes.,"icing,frosting,cream",cream,0.3,answer_first_locked_no_caption,frosting,0.8999999999999999,0.5999999999999999,cream,0.3,frosting,0.8999999999999999,cream,0.3,cream,0.3,cream,0.3,cream,0.3,cream,0.3,cream,0.3
4,182202<->2DQex53EkNGH2cfo3WPuPn,What type of device is sitting next to the laptop?,spatial_location,a laptop computer sitting on top of a table.,"phone,laptop,table",cell phone,0.6,answer_first_locked_no_caption,phone,1.0,0.4,cell phone,0.6,phone,1.0,phone,1.0,phone,1.0,phone,1.0,phone,1.0,cell phone,0.6,phone,1.0
8,341196<->2P5mVJc5a6DcCN9opV92FJ,What is the person on the left doing with their body?,spatial_location,a man riding a wave on top of a surfboard.,"surfer,wetsuit,board",crouching,0.6,answer_first_locked_no_caption,surfing,1.0,0.4,crouching,0.6,surfing,1.0,crouching,0.6,crouching,0.6,crouching,0.6,riding wave,0.0,crouching,0.6,surfing,1.0
10,71711<->2RN4dwhRZR3ZSKHtRnJdX3,What country do these planes belong to?,object_what,a group of people standing next to a plane in a hangar.,"flag,banner,person",usa,0.6,answer_first_locked_no_caption,United States,1.0,0.4,usa,0.6,United States,1.0,usa,0.6,usa,0.6,usa,0.6,usa,0.6,usa,0.6,usa,0.6
19,180878<->2xDeTCXSRqdhvREBDhHsMx,What is the outside of the cake made of?,object_what,a birthday cake with a car and a cell phone on it.,"cake,bag,case",frost,0.0,answer_first_locked_no_caption,frosting,0.3,0.3,frost,0.0,frosting,0.3,frost,0.0,frost,0.0,frost,0.0,frost,0.0,frost,0.0,frost,0.0
34,547816<->3qnvp3XRGpc5L6RMhRZ3gg,The visible bottles most likely contain what kind of items?,category_type,a bathroom with a shower curtain and a toilet.,"bottle,countertop,bathtub",shampoo and conditioner,0.0,review_empty_context,shampoo,1.0,1.0,shampoo and conditioner,0.0,shower products,0.0,shampoo,1.0,shampoo and conditioner,0.0,shampoo and conditioner,0.0,shampoo and conditioner,0.0,shampoo,1.0,shampoo and conditioner,0.0
36,485480<->3w3DT989GgT6yjqurjvmt6,What is the batter most likely preparing to do here?,object_what,a baseball player swinging a bat on top of a field.,"bat,hand,glove",hit ball,0.0,answer_first_locked_no_caption,swing,0.6,0.6,hit ball,0.0,swing,0.6,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0
38,286994<->455nQuaxbURN5ofLfbCqfq,What kind of terrain is it?,category_type,a herd of elephants walking across a dry grass field.,"elephant,water,bush",grassland,0.0,answer_first_locked_no_caption,savanna,0.6,0.6,grassland,0.0,savanna,0.6,grassland,0.0,grass field,0.0,savannah,0.0,dry grass field,0.0,grassland,0.0,grassland,0.0
43,153632<->4FBqxbmT4zCDwWzm3gH7LY,Which food item is the knife for?,other,a plate of food on a table with a knife and fork.,"mushroom,food,meat",food,0.0,r3_no_caption,meat,1.0,1.0,food,0.0,food,0.0,food,0.0,food,0.0,meat,1.0,food,0.0,food,0.0,food,0.0
44,217285<->4H7KMfvPvCTSvtf8Uyp55D,What is the orange container on the left near the man in the red shirt used for?,purpose_reason,a baseball player holding a bat on top of a field.,"cooler,dugout,man",cooling,0.0,answer_first_locked_no_caption,cooler,1.0,1.0,cooling,0.0,cooler,1.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0
51,176799<->4cdYbJFFeKXJr6LbKgcxTa,In what type of environment are they most likely riding skateboards?,action_state,a man flying through the air while riding a skateboard.,"man,stair,graffiti",skate park,0.3,answer_first_locked_no_caption,urban,0.8999999999999999,0.5999999999999999,skate park,0.3,urban,0.8999999999999999,skate park,0.3,skate park,0.3,urban,0.8999999999999999,skate park,0.3,park,0.0,skate park,0.3
61,50896<->4yq3AnREQ4PP7MXMWvBb5a,What festive season are these fruits usually ingested?,object_what,a bowl filled with oranges on top of a table.,"tangerine,orange,bowl",holiday,0.0,answer_first_locked_no_caption,christmas,1.0,1.0,holiday,0.0,christmas,1.0,christmas,1.0,halloween,0.0,holiday,0.0,holiday,0.0,christmas,1.0,holiday,0.0
68,433204<->5SgmGLJtR47rB539V4Jwt6,Why are the men wearing yellow vests?,purpose_reason,a man riding a motorcycle past a group of people.,"vest,person,house",work,0.0,answer_first_locked_no_caption,safety,1.0,1.0,work,0.0,safety,1.0,work,0.0,work,0.0,work,0.0,work,0.0,work,0.0,work,0.0
70,216497<->5XBmJitjSm9g7SQqNxYpe7,What is the object in the middle called?,object_what,a kitchen with a white counter top next to a stove top oven.,"sink,countertop,chair",counter,0.0,answer_first_locked_no_caption,island,1.0,1.0,counter,0.0,island,1.0,counter,0.0,counter,0.0,island,1.0,counter,0.0,counter,0.0,counter,0.0
71,574702<->5Y5u3gnReRQbzkRnGw5ywd,What is the gray street made up of?,object_what,a street filled with lots of parked motorcycles.,"tire,bike,person",brick,0.3,r3_no_caption,stone,0.6,0.3,brick,0.3,bricks,0.3,brick,0.3,brick,0.3,stone,0.6,brick,0.3,brick,0.3,brick,0.3
73,277689<->5aXXZiPUcUzScs2do5tjYs,How was the cake decorated?,other,a wedding cake with red flowers and a glass of wine.,"cake,rose,layer",red flowers,0.0,answer_first_locked_no_caption,flowers,0.3,0.3,red flowers,0.0,flowers,0.3,red flowers,0.0,red flowers,0.0,flowers,0.3,red flowers,0.0,red flowers,0.0,red flowers,0.0
75,386352<->5fDUuYWCZMudfXVEPywFYc,Who has the same color hair as this woman?,color,a woman holding a tennis racquet on top of a tennis court.,"woman,person,man",man,0.0,review_empty_context,no one,0.6,0.6,man,0.0,man,0.0,no one,0.6,no one,0.6,man,0.0,no one,0.6,no one,0.6,no one,0.6
81,455157<->64o6jMUzFmawogFAYnhNoh,What pattern are the man's pants?,object_what,a man sitting on a bench with an umbrella.,"pant,shirt,shoe",camouflage,0.6,r3_no_caption,camo,1.0,0.4,camouflage,0.6,camouflage,0.6,camouflage,0.6,camouflage,0.6,camo,1.0,camo,1.0,camouflage,0.6,camouflage,0.6
90,41872<->6Ps8BgA4pbvK4eKToCDQqu,What seems to be contained in the nook underneath the TV?,object_what,a bed room with a bed a tv and a fire place,"fireplace,television,blind",tv,0.0,answer_first_locked_no_caption,fireplace,1.0,1.0,tv,0.0,fireplace,1.0,fireplace,1.0,fireplace,1.0,fireplace,1.0,fireplace,1.0,tv,0.0,fireplace,1.0
97,77396<->6kgVidVJRysLz6Rx3eNBZi,Where are these cats located?,spatial_location,two cats playing on the floor in front of a television.,"cat,floor,carpet",floor,0.3,answer_first_locked_no_caption,living room,1.0,0.7,floor,0.3,living room,1.0,floor,0.3,floor,0.3,living room,1.0,floor,0.3,floor,0.3,floor,0.3
101,560474<->6ony7mfRzE7tEhj5udEe5u,What type of event might this be?,category_type,a car with a bunch of toothbrushes on it,"car,doll,person",fair,0.0,answer_first_locked_no_caption,festival,0.6,0.6,fair,0.0,festival,0.6,car show,0.0,car show,0.0,fair,0.0,fair,0.0,fair,0.0,car show,0.0
104,87144<->6phsfhJ9iw5j6nYTpVBd9A,In which way are the adults shown here likely related to the child?,other,a man and a woman sitting on a bench with a baby.,"man,woman,girl",parent,0.0,no_cot_rounds1,parents,1.0,1.0,parent,0.0,parent-child,0.0,parent,0.0,parents,1.0,parent,0.0,parent,0.0,parent,0.0,parent,0.0
108,259640<->73kd5sUo4zXkApi6v4X8Qc,What type of cuisine would be purchased here?,category_type,a woman riding a bike past a food truck.,"woman,person,bicycle",tamales,0.6,answer_first_locked_no_caption,Mexican,1.0,0.4,tamales,0.6,Mexican,1.0,tamales,0.6,tamales,0.6,tamales,0.6,mexican,1.0,mexican,1.0,tamales,0.6
111,148957<->767TWXi3wYjFiBX3YXyMuU,What kind of coating has been used?,category_type,a box of six donuts with different toppings.,"donut,chocolate,hole",chocolate and glaze,0.0,answer_first_locked_no_caption,chocolate,0.6,0.6,chocolate and glaze,0.0,chocolate,0.6,chocolate,0.6,glaze,0.0,chocolate,0.6,varied,0.0,glaze,0.0,glaze,0.0
115,313783<->7DWnTRkU9e86XMwb7QqxYd,This meal was likely prepared using which method?,other,a piece of meat and some vegetables on a plate.,"meat,vegetable,food",grilled,0.3,answer_first_locked_no_caption,grilling,1.0,0.7,grilled,0.3,grilling,1.0,grilled,0.3,grilled,0.3,grilled,0.3,grilled,0.3,grilled,0.3,grilled,0.3
116,403817<->7Hndh7JzZ7BizC4XDSV5Z5,The cat appears to be what type?,category_type,a cat sitting in front of a laptop computer.,"cat,collar,laptop",black and white,0.0,keep_revise,domestic,0.3,0.3,black and white,0.0,black and white,0.0,black and white,0.0,black and white,0.0,black and white,0.0,domestic,0.3,black and white,0.0,black and white,0.0
121,132375<->7NxakvvZZEHKsh8MbNHHvz,What type of container is the straw sticking out of?,category_type,a vase with flowers and a drink on a table.,"jar,vase,petal",jar,0.6,review_empty_context,mason jar,0.8999999999999999,0.29999999999999993,jar,0.6,jar,0.6,mason jar,0.8999999999999999,mason jar,0.8999999999999999,jar,0.6,jar,0.6,jar,0.6,jar,0.6
128,79229<->7dxcZiZowsAK34QswVhXy3,The temperature outside is likely what range?,other,a man riding on the back of a white horse next to a dog.,"man,hat,jacket",cool,0.0,answer_first_locked_no_caption,cold,1.0,1.0,cool,0.0,cold,1.0,cool,0.0,cold,1.0,cool,0.0,cool,0.0,cool,0.0,cold,1.0
133,495054<->82bLyanbdDeEq6mkVa3YGM,What country headquarters this plane company?,object_what,a large passenger jet sitting on top of an airport tarmac.,"tail,logo,airport",uk,0.3,answer_first_locked_no_caption,united kingdom,0.6,0.3,uk,0.3,united kingdom,0.6,uk,0.3,uk,0.3,uk,0.3,united kingdom,0.6,uk,0.3,uk,0.3
140,84752<->8LVHUcGX7daYbXPh59c8pW,What vehicle is shown in the photo?,object_what,a fighter jet sitting on top of a runway.,"airplane,wing,tail",jet,0.3,answer_first_locked_no_caption,airplane,0.8999999999999999,0.5999999999999999,jet,0.3,airplane,0.8999999999999999,jet,0.3,jet,0.3,airplane,0.8999999999999999,jet,0.3,jet,0.3,jet,0.3
153,378453<->8qqTsLQFXdEDT9oeVgZekp,What are some of the zebras standing in in the middle of the photo?,object_what,a herd of zebras drinking water from a watering hole.,"zebra,water,shadow",mud,0.6,keep_revise,water,0.8999999999999999,0.29999999999999993,mud,0.6,mud,0.6,mud,0.6,mud,0.6,mud,0.6,water,0.8999999999999999,water,0.8999999999999999,water,0.8999999999999999
156,228942<->8uQHFZsgJwvQPuvYs7reMA,What is the dark colored car to the far left in the middle doing?,color,a car driving down a street at night.,"bus,person,man",moving,0.3,no_cot_rounds1,driving,0.6,0.3,moving,0.3,moving,0.3,moving,0.3,driving,0.6,moving,0.3,driving,0.6,driving,0.6,driving,0.6
162,87476<->92HRqF8nimMzat2iydhLAj,When it comes to the child what is he or she doing?,action_state,a man and a little boy on a skateboard.,"boy,skateboard,pant",skating,0.3,answer_first_locked_no_caption,skateboarding,0.8999999999999999,0.5999999999999999,skating,0.3,skateboarding,0.8999999999999999,skating,0.3,skateboarding,0.8999999999999999,skateboarding,0.8999999999999999,skateboarding,0.8999999999999999,skating,0.3,skateboarding,0.8999999999999999
174,407083<->9TJtRYnGa8xr8CF67M5Mof,What other animal is this animal traditionally an enemy of?,object_what,a man sitting in the back of a car with a dog.,"fish,neck,roof",rat,0.0,answer_first_locked_no_caption,cat,1.0,1.0,rat,0.0,cat,1.0,rat,0.0,cat,1.0,cat,1.0,cat,1.0,rat,0.0,cat,1.0
188,20571<->9zfgVSEG4hrKHfuoe4tHqx,Why does the couple standing in the boat?,purpose_reason,a boat that is sitting in the water.,"person,mast,pole",fish,0.0,answer_first_locked_no_caption,fishing,0.6,0.6,fish,0.0,fishing,0.6,fish,0.0,fish,0.0,fish,0.0,fish,0.0,fish,0.0,not enough info,0.0
189,236599<->A2uU9gQWJp8Z3LJePdL9u8,What cultural clothing are the women wearing?,action_state,a group of people flying kites over a lush green field.,"person,tail,flag",traditional,0.0,review_empty_context,kimono,0.6,0.6,traditional,0.0,traditional,0.0,kimono,0.6,traditional,0.0,kimono,0.6,kimono,0.6,traditional,0.0,kimono,0.6
193,183049<->A9Pk4Az2eRMuSEgB8GnUBU,The top shelf has many books of the same author of what genre?,other,a book shelf filled with lots of books.,"book,shelf,wall",fiction,0.0,answer_first_locked_no_caption,mystery,0.3,0.3,fiction,0.0,mystery,0.3,nonfiction,0.0,nonfiction,0.0,fiction,0.0,nonfiction,0.0,fiction,0.0,nonfiction,0.0
198,476215<->AJvjHZ5SF3hD6C3eYniXsc,What are the horses being used for?,purpose_reason,a man standing next to two horses on a dirt field.,"horse,man,ground",plow,0.0,answer_first_locked_no_caption,plowing,1.0,1.0,plow,0.0,plowing,1.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0
206,79969<->AhrmUB8LFNXLkpiLGaaAuY,Why is his arm up in the air?,purpose_reason,a tennis player jumping up to hit a ball,"ball,man,woman",hitting ball,0.3,answer_first_locked_no_caption,serving,0.6,0.3,hitting ball,0.3,serving,0.6,hitting ball,0.3,hitting ball,0.3,serve,0.0,hit ball,0.3,hitting ball,0.3,hitting ball,0.3
223,280930<->BUpdAEWaMUZK8AKRzy3vBQ,Who might be helping the girl?,other,a little girl standing in front of an oven.,"girl,hand,tray",mother,0.3,no_cot_rounds1,mom,0.6,0.3,mother,0.3,no one,0.0,mother,0.3,mom,0.6,mother,0.3,mom,0.6,mother,0.3,no one,0.0
232,391722<->BuWxzrpFRXqSj8UjZannxM,What indicates a baby is present?,object_what,a man holding a birthday cake with lit candles.,"cup,straw,curtain",sippy cup,0.6,answer_first_locked_no_caption,pacifier,1.0,0.4,sippy cup,0.6,pacifier,1.0,sippy cup,0.6,sippy cup,0.6,sippy cup,0.6,sippy cup,0.6,sippy cup,0.6,sippy cup,0.6
251,232692<->ChoLNyVYCocjeYqDJQYMoe,What is the name of the sport the man is participating in?,object_what,a man is water skiing on a lake.,"man,rope,hand",water ski,0.0,answer_first_locked_no_caption,water skiing,0.3,0.3,water ski,0.0,water skiing,0.3,water ski,0.0,water skiing,0.3,water ski,0.0,water skiing,0.3,water skiing,0.3,water ski,0.0
263,17627<->DC3qACi5rhmWU8XzM5Vdvy,Which car hold the most people?,other,a group of cars parked in a parking lot.,"car,woman,windshield",bus,0.3,answer_first_locked_no_caption,van,1.0,0.7,bus,0.3,van,1.0,bus,0.3,bus,0.3,bus,0.3,minivan,0.0,bus,0.3,bus,0.3
271,398377<->DTAw9Vu8CLWbzUAg6m8okx,What is on the laps of each of the women?,object_what,a group of women sitting on a couch.,"purse,book,jacket",handbag,0.3,answer_first_locked_no_caption,bags,0.6,0.3,handbag,0.3,bags,0.6,bag,0.6,handbag,0.3,purse,0.6,handbag,0.3,handbag,0.3,handbag,0.3
276,289594<->DcKwtSxfdjTch9RvAuEpNH,What type of buildings are located here?,spatial_location,a man standing on a sidewalk next to a street sign.,"building,car,sidewalk",house,0.0,answer_first_locked_no_caption,houses,1.0,1.0,house,0.0,houses,1.0,houses,1.0,houses,1.0,houses,1.0,houses,1.0,houses,1.0,house,0.0
280,455267<->DwKTiqQxFH5Ei2cQGR3Y9U,What is this dish being cooked in?,object_what,a pan filled with meat and broccoli on top of a table.,"pan,pot,stove",pan,0.3,answer_first_locked_no_caption,wok,1.0,0.7,pan,0.3,wok,1.0,pan,0.3,pan,0.3,wok,1.0,pan,0.3,pan,0.3,pan,0.3
283,450303<->E2Vuut5upXHFFVxEk8kHvM,The people on laptops seem most likely to be part of what group?,other,a group of people sitting at a table with laptops.,"laptop,person,man",student,0.0,answer_first_locked_no_caption,students,0.6,0.6,student,0.0,students,0.6,student,0.0,student,0.0,student,0.0,student,0.0,student,0.0,student,0.0
288,170670<->E9Tea7kyCg7eW4bPeT5W83,The glasses contain only this beverage type?,other,a table topped with plates and bowls of food.,"glass,cup,bottle",uncertain,0.0,answer_first_locked_no_caption,beer,1.0,1.0,uncertain,0.0,beer,1.0,beer,1.0,beer,1.0,beer,1.0,not all beer,0.0,beer,1.0,beer,1.0
291,292082<->EAYTJseBUauGLMkCTZdhtU,Whos is sitting in the chair?,other,a man and a child sitting next to each other.,"man,girl,chair",man and child,0.0,r3_no_caption,man,1.0,1.0,man and child,0.0,man and girl,0.0,man and child,0.0,man and child,0.0,man,1.0,man and child,0.0,man and child,0.0,man and child,0.0
294,523782<->EER9xudvx7aG37Zbaewxkw,What brand of soda is the can in the car?,object_what,a red bird sitting on the mirror of a silver truck.,"car,window,handle",uncertain,0.0,answer_first_locked_no_caption,pepsi,1.0,1.0,uncertain,0.0,pepsi,1.0,dr pepper,0.0,coca cola,0.0,coca cola,0.0,unknown,0.0,coca-cola,0.0,coca cola,0.0
296,463802<->EJ5nAfveNYp6rFYz46Dqkw,What is the stuffed animal touching instead of the tennis player?,object_what,a man is holding a tennis racket next to a stuffed animal.,"ear,hat,wristband",wall,0.0,visible_only,racket,0.3,0.3,wall,0.0,wall,0.0,wall,0.0,wall,0.0,wall,0.0,wall,0.0,racket,0.3,wall,0.0
301,375278<->Ed662HvZeisV6Mzxs2S6bj,The bag which the cat is standing is used for what?,purpose_reason,a person is petting a black cat in a suitcase.,"suitcase,strap,floor",carry,0.0,answer_first_locked_no_caption,travel,1.0,1.0,carry,0.0,travel,1.0,travel,1.0,travel,1.0,carry,0.0,travel,1.0,travel,1.0,travel,1.0
306,26204<->EpwwuobLzGLWhnbXAjbw2x,What does the electric street sign say?,text_ocr,a city street filled with traffic and tall buildings.,"sign,woman,man",spokane fall & 6th,0.0,r3_no_caption,stop,0.3,0.3,spokane fall & 6th,0.0,SPokane Falls Blvd,0.0,spokane fall st,0.0,spokane fall & 6th,0.0,stop,0.3,spokane fall & 6th,0.0,spokane fall & 6th,0.0,spokane fall & 6th,0.0
308,73946<->EtRReER5fXmbnTmQTzM7Di,In what type of location are they playing with the body board?,action_state,a couple of men standing next to a surfboard with a shark on it.,"board,tank top,wall",indoor,0.0,review_empty_context,indoors,0.8999999999999999,0.8999999999999999,indoor,0.0,indoor,0.0,indoors,0.8999999999999999,room,0.8999999999999999,indoor,0.0,indoors,0.8999999999999999,indoors,0.8999999999999999,room,0.8999999999999999
313,489014<->F5CqqWCtosWowj39Kchh9E,What type of dog is it?,category_type,a dog on a boat in the water.,"dog,sail,railing",labrador,0.0,answer_first_locked_no_caption,german shepherd,1.0,1.0,labrador,0.0,german shepherd,1.0,labrador,0.0,labrador,0.0,dog,0.0,german shepherd,1.0,labrador,0.0,labrador,0.0
319,457078<->FFhuFfMAy38Z7WWr6q7faA,What family member in a household would this room most likely belong to?,object_what,a living room with a large poster on the wall.,"television,screen,picture",adult,0.0,keep_revise,child,1.0,1.0,adult,0.0,teenager,0.0,adult,0.0,teenager,0.0,teenager,0.0,child,1.0,teenager,0.0,adult,0.0
321,189820<->FG6kmHCaikmwGGpw9RhpSD,Who would sit here?,other,a chair sitting in front of a desk with a computer on it.,"chair,monitor,desk",person,0.0,no_cot_rounds1,employee,0.8999999999999999,0.8999999999999999,person,0.0,person,0.0,person,0.0,employee,0.8999999999999999,employee,0.8999999999999999,person,0.0,person,0.0,person,0.0
323,480021<->FHq2UjmQmmZbCvD4wDJwjH,The piece of clothing the woman in the picture is wearing on her hands normally serves what purpose?,purpose_reason,a man riding on the back of a motorcycle next to two men.,"woman,coat,short",protect,0.0,answer_first_locked_no_caption,protection,1.0,1.0,protect,0.0,protection,1.0,protect,0.0,protect,0.0,protect,0.0,protect,0.0,protect,0.0,protect,0.0
325,220732<->FQuJEPNnrznkjkvyN4UbUR,What police force does the police car behind the truck belong to probably?,spatial_location,a bus and a truck on a city street.,"truck,flag,woman",new york,0.3,answer_first_locked_no_caption,NYPD,0.6,0.3,new york,0.3,NYPD,0.6,new york,0.3,new york,0.3,new york,0.3,new york,0.3,new york,0.3,new york,0.3
330,448256<->FddDsTHeVp9WJYZBjLoKUi,What sort of surface/substance does the conveyance with a problem here move upon?,object_what,a couple of men standing next to a truck.,"car,boat,road",asphalt,0.0,keep_revise,road,0.3,0.3,asphalt,0.0,asphalt,0.0,asphalt,0.0,asphalt,0.0,asphalt,0.0,road,0.3,asphalt,0.0,asphalt,0.0
337,189806<->FtGwEGsss4Cqe38LrFBgj3,Where is this cat located?,spatial_location,a cat and a dog are in a living room.,"cat,floor,room",living room,0.3,answer_first_locked_no_caption,floor,1.0,0.7,living room,0.3,floor,1.0,living room,0.3,living room,0.3,floor,1.0,living room,0.3,living room,0.3,floor,1.0
339,551350<->Fv2hy4qfFdd847B3xEcPz3,What type of terrain is beyond the table and grill?,category_type,a picnic table under a tree in a park.,"park,dirt,leaf",gravel,0.0,answer_first_locked_no_caption,dirt,0.8999999999999999,0.8999999999999999,gravel,0.0,dirt,0.8999999999999999,gravel,0.0,gravel,0.0,grass,0.8999999999999999,gravel,0.0,gravel,0.0,gravel,0.0
349,490936<->GYERWEzeTRB8TqAZXguSbG,What is the gray thing on the nearest motorcycle for?,spatial_location,a motorcycle that has been covered with a tarp.,"tarp,motorcycle,wheel",cover,0.3,answer_first_locked_no_caption,protection,0.8999999999999999,0.5999999999999999,cover,0.3,protection,0.8999999999999999,cover,0.3,cover,0.3,cover,0.3,cover,0.3,cover,0.3,cover,0.3
350,556193<->GaMNX53oAdZUoytgminHKh,Which color of clothing is unique to just one of the two people here?,color,a couple of men standing in front of a tv.,"sweater,jean,pant",black,0.0,answer_first_locked_no_caption,blue,0.6,0.6,black,0.0,blue,0.6,black,0.0,black,0.0,black,0.0,black,0.0,black,0.0,black,0.0
355,11511<->GkrGRjhVED6WinovPED8iZ,What is sitting on the bench?,object_what,a statue of two children sitting on a bench.,"statue,woman,man",statue,0.8999999999999999,answer_first_locked_no_caption,statues,1.0,0.10000000000000009,statue,0.8999999999999999,statues,1.0,statue,0.8999999999999999,statue,0.8999999999999999,statues,1.0,statue,0.8999999999999999,statue,0.8999999999999999,statue,0.8999999999999999
358,280918<->Gr2guph9meudkWEM6Gbpwr,What energy is used to cook the turkey?,object_what,two women are taking a turkey out of the oven.,"stove,oven,burner",electric,0.3,keep_revise,gas,1.0,0.7,electric,0.3,electric,0.3,electric,0.3,electricity,0.3,electric,0.3,gas,1.0,electric,0.3,electric,0.3
